순번,약국명칭,약국전화번호,약국우편번호(도로명),약국소재지(도로명),팩스번호
59,성모사랑 약국,042-252-5122,34942,대전광역시 중구 테미로 51-22 (대흥동),
60,유천한마음 약국,042-525-8700,34900,대전광역시 중구 계백로 1597 (유천동),
61,유천프라자 약국,042-534-0486,34887,대전광역시 중구 계백로1565번길 68 (유천동),
62,대전하나로 약국,042-719-7878,35084,"대전광역시 중구 대둔산로199번길 43, 1층 (안영동)",
63,대학약국,042-222-3119,34964,"대전광역시 중구 문화로 267, 1층 (문화동)",042-586-5152
64,충남온누리 약국,042-221-0383,34964,대전광역시 중구 문화로 273 (대사동),
65,충대대령약국,042-257-0657,34964,대전광역시 중구 계룡로920번길 31 (대사동),042-253-2332
66,정문 약국,042-221-7300,34964,대전광역시 중구 문화로 279 (대사동),042-221-7303
67,한빛 약국,042-226-6425,34922,대전광역시 중구 대전천서로 449 (은행동),
68,화목한 약국,042-222-9889,34946,대전광역시 중구 계룡로 945-1 (대사동),
69,새생명 약국,042-254-7854,34942,대전광역시 중구 대흥로 72 (대흥동),
70,참편한 약국,042-222-0579,34842,대전광역시 중구 선화서로 120-2 (선화동),
71,건강드림 약국,042-586-2500,35012,대전광역시 중구 보문산로 61 (산성동),
72,봄약국,042-255-1122,35048,대전광역시 중구 대종로 299 (부사동),
73,스마일 약국,042-253-6865,35065,대전광역시 중구 대종로 169 (석교동),
74,민 약국,042-525-3375,34909,대전광역시 중구 계백로 1693 (오류동),
75,대우당 약국,042-255-8001,34832,대전광역시 중구 중앙로 173 (은행동),
76,그린약국,042-522-5614,34909,"대전광역시 중구 계백로 1709, 누리보듬아파트 112호 (오류동)",
77,한샘약국,042-223-1709,34812,대전광역시 중구 대종로 665 (중촌동),042-273-0485
78,충대빛나약국,042-226-9879,34962,대전광역시 중구 서문로 96 (문화동),
79,해오름 약국,042-222-3435,34956,"대전광역시 중구 계백로 1690 (문화동, 홈플러스)",0504-296-5117
80,임문택약국,042-523-0078,34910,대전광역시 중구 계백로 1683 (오류동),042-527-2714
81,평화약국,042-223-2288,34807,대전광역시 중구 목중로54번길 50 (중촌동),
82,유천동양약국,042-525-7599,34887,대전광역시 중구 평촌로 58 (유천동),042-538-2455
83,용약국,042-226-6852,34811,대전광역시 중구 목중로 31 (목동),
84,참솔약국,042-587-5466,34994,대전광역시 중구 문화로 54 (산성동),
85,편한약국,042-222-1023,34944,대전광역시 중구 중앙로 10 (문화동),
86,버드내약국,042-537-5556,34890,"대전광역시 중구 태평로 15, 106,107호 (태평동, 버드내마을아파트)",042-537-5557
87,대전당약국,042-256-5885,34941,대전광역시 중구 보문로 241-1 (대흥동),
88,안젤라약국,042-222-0754,34943,대전광역시 중구 대흥로66번길 36 (대흥동),
89,나래온누리약국,042-223-7573,34925,대전광역시 중구 대종로 468 (대흥동),
90,태평보령약국,042-521-3399,34892,"대전광역시 중구 유천로132번길 37, 글로리아빌딩 (태평동)",
91,수약국,042-252-7722,34917,대전광역시 중구 대흥로 105 (대흥동),
92,산성하나약국,042-582-6565,35055,"대전광역시 중구 대둔산로 390, 1층 (산성동)",
93,보명당약국,042-255-3169,35023,대전광역시 중구 대종로 313 (부사동),
94,태평성대약국,042-531-7089,34892,대전광역시 중구 동서대로 1218 (태평동),
95,경남약국,042-586-7737,34973,대전광역시 중구 계백로 1592 (유천동),
96,새봄약국,042-536-6675,34908,"대전광역시 중구 계룡로 858, 1층 (오류동)",
97,호수약국,042-581-0030,34989,대전광역시 중구 대둔산로 397 (산성동),
98,글로리약국,042-536-2343,34903,대전광역시 중구 계룡로 804 (오류동),
99,조창희 약국,042-255-3168,35023,대전광역시 중구 보문로 62 (부사동),042-255-3168
100,천사 약국,042-252-4080,34942,대전광역시 중구 대흥로66번길 19 (대흥동),
101,중앙약국,042-585-3103,35079,대전광역시 중구 보문산로 44 (산성동),
102,우리들 약국,042-286-6789,35033,대전광역시 중구 보문로 35 (문창동),
103,새길 약국,042-221-3370,34811,대전광역시 중구 목중로 31-1 (목동),042-221-3380
104,참사랑 약국,042-535-8801,34895,"대전광역시 중구 평촌로 111, 108호 (태평동, 태평아파트)",
105,문화푸른 약국,042-586-0052,35005,대전광역시 중구 천근로 40 (문화동),042-586-1052
106,태양당 약국,042-222-2343,34815,대전광역시 중구 목중로 25 (목동),
107,참조은 약국,042-255-0838,34815,대전광역시 중구 목중로25번길 5 (목동),
108,새동인당 약국,042-256-9633,34937,"대전광역시 중구 보문로 166, 1층 (대사동)",042-256-9656
109,행복한온누리 약국,042-223-9141,34868,대전광역시 중구 선화로 20 (용두동),
110,큰사랑 약국,042-254-7574,34842,대전광역시 중구 선화서로 116 (선화동),
111,바다 약국,042-535-6933,34892,대전광역시 중구 동서대로 1220 (태평동),0504-002-1883
112,프라자 약국,042-242-1002,34812,대전광역시 중구 목중로 50 (중촌동),
113,한아름약국,042-273-0055,35063,대전광역시 중구 대종로 187(석교동),
114,고려 약국,042-584-0955,34973,대전광역시 중구 계백로 1592 (유천동),042-585-0956
115,준 약국,042-253-3882,35032,대전광역시 중구 대종로 310 (부사동),
116,목양 약국,042-223-1487,34818,"대전광역시 중구 목동로 37, 107호 (목동, 목양마을아파트상가)",
117,인제당 약국,042-522-1551,35019,대전광역시 중구 과례로39번길 16 (문화동),
118,혜민 약국,042-285-4008,35036,대전광역시 중구 대종로 218 (석교동),
119,한솔 약국,042-255-2522,34832,대전광역시 중구 중앙로 149 (은행동),
120,세종약국,042-252-3864,34811,대전광역시 중구 목중로 53 (목동),
121,보문당 약국,042-254-0809,34914,대전광역시 중구 중앙로 134-1 (대흥동),
122,덕일 약국,042-525-8460,34892,대전광역시 중구 유천로142번길 6 (태평동),
123,심온누리 약국,042-527-6966,34880,대전광역시 중구 태평로 107 (태평동),
124,한사랑대흥 약국,042-223-0568,34849,"대전광역시 중구 동서대로 1388, 117호 (목동, 금호한사랑아파트 상가동)",
125,목동 한솔 약국,042-222-6007,34815,대전광역시 중구 동서대로 1403 (목동),
126,중촌 약국,042-222-6141,34813,대전광역시 중구 목중로26번길 62 (중촌동),
127,이화당 약국,042-222-0256,34944,대전광역시 중구 중앙로16번길 17 (문화동),
128,푸른뫼 약국,042-535-0339,34877,대전광역시 중구 수침로 107-1 (태평동),
129,보문산 약국,042-255-0720,35043,대전광역시 중구 보문산공원로 541 (대사동),042-255-0719
130,태전약국,042-252-2271,34832,대전광역시 중구 대종로 506 (은행동),
131,온누리 현대 약국,042-582-5921,34998,대전광역시 중구 문화로 172 (문화동),
132,종오당 약국,042-254-4374,34942,대전광역시 중구 대흥로66번길 25 (대흥동),
133,명지 약국,042-583-6864,35014,대전광역시 중구 당디로6번길 70 (문화동),
134,태경 약국,042-531-6795,34899,"대전광역시 중구 계백로 1619, 벽산프라자 102호 (유천동)",
135,제생 약국,042-585-8153,35003,대전광역시 중구 산성로 108-19 (문화동),
136,유명 약국,042-524-5586,34909,"대전광역시 중구 계백로 1717, 고려빌딩 1층 (오류동)",042-524-5586
137,광혜당약국,042-581-0708,35080,대전광역시 중구 대둔산로 363 (산성동),042-472-7080
138,대한 약국,042-252-6250,34838,대전광역시 중구 중앙로 129 (선화동),
139,세웅 약국,042-531-5656,34892,대전광역시 중구 평촌로105번길 73 (태평동),
140,계수 약국,042-283-4141,35061,대전광역시 중구 대종로 221 (석교동),
141,선진 약국,042-585-5515,34973,대전광역시 중구 계백로 1596 (유천동),042-585-5554
142,길조 약국,042-522-2440,34907,대전광역시 중구 계룡로 852 (오류동),
143,이경 약국,042-523-0185,34894,대전광역시 중구 계룡로816번길 113 (태평동),
144,대신 약국,042-584-3584,35005,대전광역시 중구 천근로 32 (문화동),
145,성민 약국,042-257-7358,35032,대전광역시 중구 문창로 3 (부사동),
146,동제 약국,042-256-9357,34926,대전광역시 중구 중교로 96 (대흥동),
147,녹십자 약국,042-256-9330,34953,대전광역시 중구 충무로 3 (대흥동),042-252-3535
148,대우 약국,042-256-1058,34838,대전광역시 중구 중앙로 125-1 (선화동),
149,오케이약국,042-286-7543,35076,대전광역시 중구 대종로 61 (옥계동),042-286-7544
150,남일 약국,042-256-4265,34814,대전광역시 중구 목중로 14 (중촌동),0504-095-7410
