약국명칭,약국소재지(도로명),전화번호,데이터기준일자
하나로약국,"대전광역시 대덕구 계족로664번길 27, 1층 101호 (법동, 한마음아파트상가)",042-673-5049,2025-01-01
태을약국,대전광역시 대덕구 중리로 21 (중리동),042-252-1495,2025-01-01
사랑약국,대전광역시 대덕구 비래동로 20 (비래동),042-636-9707,2025-01-01
한아름 약국,대전광역시 대덕구 계족산로 1 (중리동),0507-1498-2602,2025-01-01
보은약국,대전광역시 대덕구 대청로82번길 140 (신탄진동),042-931-5234,2025-01-01
초록약국,대전광역시 대덕구 대청로82번길 134 (신탄진동),042-933-2903,2025-01-01
유명한약국,대전광역시 대덕구 한밭대로1043번길 12-3 (오정동),042-863-1069,2025-01-01
행복약국,대전광역시 대덕구 덕암로148번안길 21 (상서동),042-933-0004,2025-01-01
메디팜큰사랑약국,"대전광역시 대덕구 신탄진로 821, 1층 (신탄진동)",042-935-4949,2025-01-01
대덕평안약국,"대전광역시 대덕구 아리랑로 217, 1층 (법동)",042-672-6831,2025-01-01
새빛약국,"대전광역시 대덕구 대덕대로 1591-1, 101, 102호 (석봉동, 로하스빌딩)",042-862-1994,2025-01-01
태평양약국,"대전광역시 대덕구 대덕대로 1556, 1층 (석봉동)",042-931-0309,2025-01-01
오동중앙약국,"대전광역시 대덕구 계족로 629-9, 1층 (법동)",042-637-0193,2025-01-01
한우리약국,"대전광역시 대덕구 계족산로 2, 1층 102,103호 (중리동, 조은크리닉)",042-673-4927,2025-01-01
옵티마영화약국,대전광역시 대덕구 덕암로265번길 25 (덕암동),042-931-7570,2025-01-01
서한약국,"대전광역시 대덕구 계족로 629, 1층 (법동)",042-639-6307,2025-01-01
김종삼약국,"대전광역시 대덕구 신탄진로218번길 32, 1층 102호 (와동)",042-637-1907,2025-01-01
웅진한약국,대전광역시 대덕구 중리로 9 (중리동),042-623-6464,2025-01-01
선비약국,"대전광역시 대덕구 계족로690번길 21, 110호 (법동, 선비마을1단지상가)",042-636-4575,2025-01-01
예손약국,대전광역시 대덕구 신탄진로 230 (와동),042-627-8735,2025-01-01
나자로약국,대전광역시 대덕구 대전로 1428 (읍내동),042-636-1440,2025-01-01
건강약국,대전광역시 대덕구 중리로 60 (중리동),042-626-9707,2025-01-01
온누리 대우당약국,대전광역시 대덕구 신탄진로 804 (신탄진동),042-932-3812,2025-01-01
동인당약국,대전광역시 대덕구 비래동로15번길 2 (비래동),042-634-2202,2025-01-01
새희망약국,"대전광역시 대덕구 신탄진로 847, 1층 (신탄진동)",042-252-4120,2025-01-01
산들약국,"대전광역시 대덕구 우암로 412, 102호 (비래동)",042-621-1246,2025-01-01
새일약국,"대전광역시 대덕구 대덕대로 1608, 1층 (석봉동)",042-933-1550,2025-01-01
보화당약국,대전광역시 대덕구 대덕대로1470번길 30 (목상동),042-933-1889,2025-01-01
동해약국,대전광역시 대덕구 동서대로 1805 (송촌동),042-624-5565,2025-01-01
보령당약국,대전광역시 대덕구 중리로76번길 1 (중리동),042-622-2773,2025-01-01
수현온누리약국,대전광역시 대덕구 대덕대로1470번길 37 (목상동),042-931-4337,2025-01-01
새신탄약국,대전광역시 대덕구 신탄진로 836 (신탄진동),042-933-4412,2025-01-01
연합약국,대전광역시 대덕구 동춘당로 179 (법동),042-622-3456,2025-01-01
씨티약국,대전광역시 대덕구 동심1길 26 (대화동),042-320-9732,2025-01-01
푸른약국,대전광역시 대덕구 대전로 1209(오정동),042-622-3663,2025-01-01
생수당약국,대전광역시 대덕구 비래동로 37 (비래동),042-632-5489,2025-01-01
해뜰약국,대전광역시 대덕구 비래동로7번길 1 (비래동),042-622-7714,2025-01-01
참사랑약국,대전광역시 대덕구 중리북로 4 (법동),042-634-2268,2025-01-01
두레약국,대전광역시 대덕구 계족로663번길 22 (법동),042-638-1919,2025-01-01
하나약국,대전광역시 대덕구 계족산로 5 (중리동),042-638-1919,2025-01-01
메디팜송촌약국,"대전광역시 대덕구 동춘당로94번길 11-27, 1층 108,109호 (송촌동, 하나로프라자)",042-635-9291,2025-01-01
홍인약국,대전광역시 대덕구 한밭대로 1015 (오정동),042-628-8288,2025-01-01
상아약국,"대전광역시 대덕구 선비마을로23번길 65, 1층 102호 (송촌동)",042-638-8275,2025-01-01
명문약국,대전광역시 대덕구 송촌북로16번길 57 (송촌동),042-631-8191,2025-01-01
송촌프라자약국,대전광역시 대덕구 동춘당로94번길 11-15 (송촌동),042-623-2447,2025-01-01
보건당약국,대전광역시 대덕구 대덕대로 1590 (석봉동),042-932-3815,2025-01-01
신탄선사약국,대전광역시 대덕구 석봉로3번길 39 (석봉동),042-934-1339,2025-01-01
튼튼약국,"대전광역시 대덕구 계족로 667, 1층 (법동, 대덕빌딩)",042-626-7582,2025-01-01
동이약국,대전광역시 대덕구 대전로 1123 (오정동),042-673-0108,2025-01-01
새하나약국,대전광역시 대덕구 계족산로5번길 115 (법동),042-637-1093,2025-01-01
한울명천약국,대전광역시 대덕구 비래동로 40 (비래동),042-673-2773,2025-01-01
유진약국,"대전광역시 대덕구 동춘당로94번길 11-21, 102,103호 (송촌동, 은혜프라자)",042-636-0631,2025-01-01
제성당약국,대전광역시 대덕구 동춘당로23번길 68 (송촌동),042-636-5386,2025-01-01
세미약국,대전광역시 대덕구 계족로663번길 30-6 (법동),042-673-1972,2025-01-01
에이스보람약국,"대전광역시 대덕구 동춘당로 178, 상가동 109호 (법동, 보람아파트)",042-627-3512,2025-01-01
온누리태전약국,"대전광역시 대덕구 계족로663번길 23, 상가동 103호 (법동, 유원아파트)",042-631-8496,2025-01-01
신탄대한약국,대전광역시 대덕구 석봉로38번길 67 (석봉동),042-934-7575,2025-01-01
세진약국,"대전광역시 대덕구 대전로1177번길 63-8, 23호 (오정동)",042-636-6601,2025-01-01
김명관약국,대전광역시 대덕구 신탄진로 814 (신탄진동),042-933-2422,2025-01-01
삼호약국,"대전광역시 대덕구 계족로663번길 32, 103,104호 (법동, 삼호아파트)",042-623-2305,2025-01-01
동남약국,"대전광역시 대덕구 계족로761번길 24, 111호 (읍내동, 현대상가)",042-631-9932,2025-01-01
세실약국,대전광역시 대덕구 한밭대로1036번길 37 (오정동),042-622-4779,2025-01-01
신성약국,대전광역시 대덕구 신탄진동로23번길 48 (신탄진동),042-932-2916,2025-01-01
신탄약국,대전광역시 대덕구 대덕대로1470번길 68 (목상동),042-932-1155,2025-01-01
