순번,구청,구분명,수거장소명,도로명 주소,지번주소,행정동명,전화번호,비고
32,동구,약국,스마일약국,"대전광역시 동구 은어송로 63, 글로리타워 투 105호 (가오동)",대전광역시 동구 가오동 606,효동,042-286-5575,
33,동구,약국,푸른약국,"대전광역시 동구 동서대로1668번길 33, 청암빌딩 1층 (성남동)",대전광역시 동구 성남동 500-1,성남동,042-631-7578,
34,동구,약국,희망약국,대전광역시 동구 대전로 787-2 (중동),대전광역시 동구 중동 76-13,중앙동,042-223-0371,
35,동구,약국,낭월우리약국,대전광역시 동구 곤룡로 6 (낭월동),대전광역시 동구 낭월동 622,산내동,042-272-5988,
36,동구,약국,다사랑약국,대전광역시 동구 동대전로 270 (가양동),대전광역시 동구 가양동 402-7,가양2동,042-636-3364,
37,동구,약국,건강약국,"대전광역시 동구 동대전로 272, 타임빌딩 101호 (가양동)",대전광역시 동구 가양동 402-1,가양2동,개인정보 포함,
38,동구,약국,굿모닝약국,"대전광역시 동구 은어송로 73, 1층 1호 (가오동)",대전광역시 동구 가오동 553,효동,042-273-9633,
39,동구,약국,복지약국,"대전광역시 동구 동부로 73, 상가동 107호 (판암동, 주공아파트)",대전광역시 동구 판암동 237,판암2동,042-283-8338,
40,동구,약국,더드림약국,"대전광역시 동구 동대전로46번길 11, 101호 (대동)",대전광역시 동구 대동 543,대동,042-334-7582,
41,동구,약국,새소망약국,"대전광역시 동구 계족로 425, 1층 (용전동)",대전광역시 동구 용전동 182-57,용전동,042-625-7927,
42,동구,약국,토마토약국,"대전광역시 동구 동서대로 1688, 1층 (성남동)",대전광역시 동구 성남동 494-15,성남동,042-632-7575,
43,동구,약국,판암제일약국,"대전광역시 동구 옥천로 183, 1층 119,120,121호 (판암동)",대전광역시 동구 판암동 869,판암1동,042-285-4800,
44,동구,약국,강산약국,"대전광역시 동구 보문로 4, 플러스크리닉 1층 (효동)",대전광역시 동구 효동 253-18,효동,042-272-0348,
45,동구,약국,영성일약국,"대전광역시 동구 계족로 10, 1층 (효동)",대전광역시 동구 효동 132-14,효동,042-271-2774,
46,동구,약국,아남메디컬약국,"대전광역시 동구 동서대로 1641, 아남빌딩 별관 1층 (용전동)",대전광역시 동구 용전동 145-5,용전동,042-621-2276,
47,동구,약국,누리약국,"대전광역시 동구 은어송로 72, 패션아일랜드 지하1층 (가오동)",대전광역시 동구 가오동 557,효동,042-282-9129,
48,동구,약국,행복약국,"대전광역시 동구 대전로542번길 80-57, 어울림타워 102호 (천동)",대전광역시 동구 천동 523,효동,042-274-8481,
49,동구,약국,기쁜우리약국,"대전광역시 동구 동구청로 205, 1층 (판암동)",대전광역시 동구 판암동 467-2,판암1동,042-273-5688,
50,동구,약국,늘사랑약국,대전광역시 동구 현암로 24 (삼성동),대전광역시 동구 삼성동 374-18,삼성동,042-628-0997,
51,동구,약국,체담한약국,"대전광역시 동구 석천로 7-1, 1층 (낭월동)",대전광역시 동구 낭월동 850,산내동,개인정보 포함,
52,동구,약국,용운태평양약국,"대전광역시 동구 백룡로 145, 1층 (용운동)",대전광역시 동구 용운동 451-15,용운동,042-284-5554,
53,동구,약국,용화약국,"대전광역시 동구 대전로 774-2, 1층 (원동)",대전광역시 동구 원동 20-12,중앙동,042-256-6724,
54,동구,약국,튼튼약국,"대전광역시 동구 계족로 516, 1층 (용전동)",대전광역시 동구 용전동 44-2,용전동,042-633-8272,
55,동구,약국,정약국,"대전광역시 동구 계족로140번길 178, 1층 (용운동)",대전광역시 동구 용운동 451-25,용운동,042-286-5067,
56,동구,약국,우리온누리약국,"대전광역시 동구 대전로 889, 1층 (삼성동)",대전광역시 동구 삼성동 293-10,삼성동,042-622-9885,
57,동구,약국,한남약국(한약국),대전광역시 동구 한남로 13-1 (홍도동),대전광역시 동구 홍도동 97-2,홍도동,042-626-8275,
58,동구,약국,메디컬대동약국,"대전광역시 동구 계족로 171, 1층 102호 (대동)",대전광역시 동구 대동 148-59,대동,042-271-8837,
59,동구,약국,명문당한약국,"대전광역시 동구 비래서로42번길 69, 1층 (가양동)",대전광역시 동구 가양동 36-1,가양2동,042-321-6638,
60,동구,약국,진약국,"대전광역시 동구 대전로 832-2, 1층 (정동)",대전광역시 동구 정동 2-34,중앙동,042-223-7977,
61,동구,약국,참다림한약국,대전광역시 동구 백룡로 82 (용운동),대전광역시 동구 용운동 729,용운동,042-283-8895,
62,동구,약국,한우리약국,"대전광역시 동구 동서대로 1689, 5층 505호 (용전동, 대전복합터미널(서관))",대전광역시 동구 용전동 63-3,용전동,042-633-7812,
63,동구,약국,진 한약국,"대전광역시 동구 계족로 495, 1층 (용전동)",대전광역시 동구 용전동 42-12,용전동,042-636-9157,
64,동구,약국,조은약국,대전광역시 동구 동서대로1520번길 28 (삼성동),대전광역시 동구 삼성동 321-16,삼성동,042-622-1262,
65,동구,약국,일심약국,"대전광역시 동구 동서대로 1689, 1층 EW143호 (용전동, 대전복합터미널(서관))",대전광역시 동구 용전동 63-3,용전동,042-637-0059,
66,동구,약국,유산균약국,대전광역시 동구 계족로 476 (용전동),대전광역시 동구 용전동 127-12,용전동,042-584-2220,
67,동구,약국,늘푸른약국,대전광역시 동구 용운로 159-1 (용운동),대전광역시 동구 용운동 295-10,용운동,042-285-2255,
68,동구,약국,명약국,대전광역시 동구 옥천로 148 (판암동),대전광역시 동구 판암동 477-7,판암1동,042-272-8900,
69,동구,약국,정류장약국,대전광역시 동구 산내로 1317 (낭월동),대전광역시 동구 낭월동 461,산내동,042-285-2900,
70,동구,약국,시온약국,"대전광역시 동구 동대전로 286, 1층 (가양동)",대전광역시 동구 가양동 418-7,가양2동,042-639-5579,
71,동구,약국,조이약국,"대전광역시 동구 동산초교로 41, 105호 (홍도동)",대전광역시 동구 홍도동 47-2,홍도동,042-635-7501,
72,동구,약국,새봄약국,"대전광역시 동구 동구청로 101, 103호 (가오동, 세이프존)",대전광역시 동구 가오동 604,효동,042-286-7228,
73,동구,약국,독일약국,"대전광역시 동구 대전로 787, 1층 (중동)",대전광역시 동구 중동 76-5,중앙동,042-257-5665,
74,동구,약국,나눔약국,"대전광역시 동구 은어송로 33, 1층 (가오동)",대전광역시 동구 가오동 624,효동,042-272-3637,
75,동구,약국,대덕약국,대전광역시 동구 동서대로 1676 (성남동),대전광역시 동구 성남동 496-2,성남동,042-638-3533,
76,동구,약국,선인약국,대전광역시 동구 대전로815번길 133 (삼성동),대전광역시 동구 삼성동 114-1,삼성동,042-625-2949,
77,동구,약국,청담약국,대전광역시 동구 대전로 771 (원동),대전광역시 동구 원동 48-1,중앙동,042-531-6480,
78,동구,약국,오케이약국(OK약국),"대전광역시 동구 동부로 27, 1층 104호 (판암동)",대전광역시 동구 판암동 522,판암2동,042-282-9082,
79,동구,약국,프라자약국(한약국),"대전광역시 동구 한밭대로 1282, 1층 (용전동, (주)홈플러스(주)동대전점)",대전광역시 동구 용전동 65-1,용전동,042-621-5548,
80,동구,약국,알찬약국,"대전광역시 동구 동서대로 1661, 1층 (용전동)",대전광역시 동구 용전동 143-19,용전동,042-633-0216,
81,동구,약국,대전한약국,대전광역시 동구  대학로  62-10 (용운동),대전광역시 동구 용운동 619,용운동,042-286-4568,
82,동구,약국,은어송약국,대전광역시 동구 은어송로 58 (가오동),대전광역시 동구 가오동 648,효동,042-286-1030,
83,동구,약국,힘나는약국,대전광역시 동구 신기로101번길 21 (가오동),대전광역시 동구 가오동 468,효동,042-283-5025,
84,동구,약국,새빛나약국,대전광역시 동구 대전로 822 (정동),대전광역시 동구 정동 15-1,중앙동,042-221-8879,
85,동구,약국,구세약국,대전광역시 동구 동대전로 80 (대동),대전광역시 동구 대동 180-18,대동,042-672-8588,
86,동구,약국,대영약국,대전광역시 동구 동대전로 288 (가양동),대전광역시 동구 가양동 418-8,가양2동,042-621-5989,
87,동구,약국,가오온누리약국,대전광역시 동구 은어송로 60 (가오동),대전광역시 동구 가오동 647,효동,042-286-1023,
88,동구,약국,마루약국,"대전광역시 동구 동부로73번길 6, 1층 1호 (판암동)",대전광역시 동구 판암동 231-1,판암2동,042-272-5777,
89,동구,약국,동대전약국,대전광역시 동구 용운로 170-1 (용운동),대전광역시 동구 용운동 305-5,용운동,042-282-5550,
90,동구,약국,중앙약국,대전광역시 동구 대전로 307 (대성동),대전광역시 동구 대성동 200-4,산내동,042-286-7870,
91,동구,약국,사랑우리들약국,대전광역시 동구 계족로392번길 64 (성남동),대전광역시 동구 성남동 497-3,성남동,042-625-1945,
92,동구,약국,유림약국,대전광역시 동구 대전로779번길 5 (원동),대전광역시 동구 원동 49-1,중앙동,042-274-4782,
93,동구,약국,칠성약국,"대전광역시 동구 동대전로 231, 제2동 (가양동)",대전광역시 동구 가양동 182-15,가양1동,042-672-9975,
94,동구,약국,한솔약국,대전광역시 동구 계족로 393-1 (성남동),대전광역시 동구 성남동 505-6,성남동,042-635-7388,
95,동구,약국,판암늘사랑약국,대전광역시 동구 옥천로 170 (판암동),대전광역시 동구 판암동 323-10,판암1동,042-272-8250,
96,동구,약국,동해당약국,대전광역시 동구 대전로815번길 1 (정동),대전광역시 동구 정동 27-29,중앙동,042-257-3229,
97,동구,약국,삼성약국,대전광역시 동구 계족로 412 (용전동),대전광역시 동구 용전동 145-8,용전동,042-631-6654,
98,동구,약국,가오예시티약국,대전광역시 동구 동구청로 95 (가오동),대전광역시 동구 가오동 644-1,효동,042-286-2200,
99,동구,약국,노닐약국,대전광역시 동구 동서대로 1689 (용전동),대전광역시 동구 용전동 63-3,용전동,042-622-5511,
100,동구,약국,새시대약국,대전광역시 동구 태전로 163 (삼성동),대전광역시 동구 삼성동 352-17,삼성동,042-624-3115,
101,동구,약국,하늘약국,"대전광역시 동구 은어송로 62, 105호 (가오동, 지오빌딩)",대전광역시 동구 가오동 646,효동,042-286-2275,
102,동구,약국,중도한약국,대전광역시 동구 대전로813번길 24 (중동),대전광역시 동구 중동 21-14,중앙동,042-253-8829,
103,동구,약국,해오름약국,대전광역시 동구 계족로 75 (신흥동),대전광역시 동구 신흥동 97-12,신흥동,042-282-8300,
104,동구,약국,푸른태평양약국,대전광역시 동구 충정로 137 (자양동),대전광역시 동구 자양동 188-11,자양동,042-632-8800,
105,동구,약국,새가양약국,대전광역시 동구 우암로 326 (가양동),대전광역시 동구 가양동 162-1,가양2동,042-625-8997,
106,동구,약국,오약국,대전광역시 동구 옥천로180번길 4 (판암동),대전광역시 동구 판암동 678-66,판암1동,042-272-8062,
107,동구,약국,다정약국,대전광역시 동구 우암로 229 (가양동),대전광역시 동구 가양동 437-7,가양1동,042-633-3967,
108,동구,약국,효촌약국,대전광역시 동구 계족로382번길 35 (성남동),대전광역시 동구 성남동 501-20,성남동,042-628-6429,
109,동구,약국,대동약국,대전광역시 동구 중앙로 209-1 (중동),대전광역시 동구 중동 64-3,중앙동,042-256-0787,
110,동구,약국,대전종로약국,대전광역시 동구 동서대로 1629-6 (홍도동),대전광역시 동구 홍도동 9-5,홍도동,042-636-8080,
111,동구,약국,소영약국,대전광역시 동구 태전로 175 (삼성동),대전광역시 동구 삼성동 388-12,삼성동,042-672-4170,
112,동구,약국,한독약국,대전광역시 동구 중앙로 193 (중동),대전광역시 동구 중동 26-17,중앙동,042-256-8055,
113,동구,약국,한일약국,대전광역시 동구 우암로147번길 3 (삼성동),대전광역시 동구 삼성동 148-3,삼성동,042-631-1119,
114,동구,약국,동인약국,대전광역시 동구 산내로 1360 (낭월동),대전광역시 동구 낭월동 208-8,산내동,042-271-7427,
115,동구,약국,청우온누리약국,대전광역시 동구 옥천로180번길 18 (판암동),대전광역시 동구 판암동 345-9,판암1동,042-273-8300,
116,동구,약국,녹십자약국,대전광역시 동구 동대전로284번길 3 (가양동),대전광역시 동구 가양동 418-18,가양2동,042-623-1223,
117,동구,약국,백화당약국,"대전광역시 동구 동서대로 1653, 1층 (용전동)",대전광역시 동구 용전동 145-3,용전동,042-633-2046,
118,동구,약국,하나약국,대전광역시 동구 우암로 172 (성남동),대전광역시 동구 성남동 57-1,성남동,042-635-9639,
119,동구,약국,한사랑약국,대전광역시 동구 대전천동로 574 (중동),대전광역시 동구 중동 51-53,중앙동,042-222-2560,
120,동구,약국,온누리윤약국,대전광역시 동구 계족로 490 (용전동),대전광역시 동구 용전동 123-11,용전동,042-634-0344,
121,동구,약국,태평양약국,대전광역시 동구 동대전로 81 (대동),대전광역시 동구 대동 179-1,대동,042-633-7575,
122,동구,약국,용전약국,"대전광역시 동구 계족로 416, 1층 (용전동)",대전광역시 동구 용전동 145-10,용전동,042-624-8981,
123,동구,약국,명지약국,대전광역시 동구 태전로 169 (삼성동),대전광역시 동구 삼성동 352-13,삼성동,042-672-6683,
124,동구,약국,신독일약국,대전광역시 동구 우암로 310 (가양동),대전광역시 동구 가양동 171-16,가양2동,042-635-2300,
125,동구,약국,대성당약국,대전광역시 동구 계족로 324 (성남동),대전광역시 동구 성남동 47-2,성남동,042-626-6388,
126,동구,약국,신유약국,"대전광역시 동구 동서대로1748번길 82, 1층 (가양동)",대전광역시 동구 가양동 25-9,가양2동,042-625-0172,
127,동구,약국,동춘약국,대전광역시 동구 대전로 788 (중동),대전광역시 동구 중동 75-12,중앙동,042-273-2244,
128,동구,약국,구일약국,"대전광역시 동구 대전로 646, 상가동 1층 101호 (효동, 효동현대아파트)",대전광역시 동구 효동 135-1,효동,042-282-9108,
129,동구,약국,유신약국,대전광역시 동구 대흥로 211-1 (원동),대전광역시 동구 원동 36-11,중앙동,042-257-5054,
130,동구,약국,버들온누리약국,대전광역시 동구 동산초교로23번길 5 (홍도동),대전광역시 동구 홍도동 35-1,홍도동,042-622-0036,
131,동구,약국,남정약국,대전광역시 동구 동대전로 59 (대동),대전광역시 동구 대동 162-6,대동,042-623-1688,
132,동구,약국,성모약국,대전광역시 동구 동대전로 200 (자양동),대전광역시 동구 자양동 197-6,자양동,042-672-9707,
133,동구,약국,진문약국,대전광역시 동구 충무로 193 (인동),대전광역시 동구 인동 40-5,신인동,042-283-4238,
134,동구,행정복지센터,중앙동행정복지센터,대전광역시 동구 대동천우안5길 24(소제동),대전광역시 동구 소제동 299-212,중앙동,042-259-7201,
135,동구,행정복지센터,신인동행정복지센터,대전광역시 동구 충무로203번길 28-25(인동),대전광역시 동구 인동 16-2,신인동,042-259-7231,
136,동구,행정복지센터,효동행정복지센터,대전광역시 동구 대전로542번길 143 (천동),대전광역시 동구 천동 511-194,효동,042-259-7261,
137,동구,행정복지센터,판암1동행정복지센터,대전광역시 동구 동부로 10번길 68,대전광역시 동구 판암동 868,판암1동,042-259-7291,
138,동구,행정복지센터,판암2동행정복지센터,대전광역시 동구 동부로 37(판암동),대전광역시 동구 판암동 246,판암2동,042-259-7321,
139,동구,행정복지센터,용운동행정복지센터,대전광역시 동구 새울로109번길 5(용운동),대전광역시 동구 용운동 296-3,용운동,042-259-7351,
140,동구,행정복지센터,대동행정복지센터,대전광역시 동구 계족로 180(대동),대전광역시 동구 대동 179-7,대동,042-259-7381,
141,동구,행정복지센터,자양동행정복지센터,대전광역시 동구 백룡로 16(자양동),대전광역시 동구 자양동 60-1,자양동,042-259-7411,
142,동구,행정복지센터,가양1동행정복지센터,대전광역시 동구 가양로 122(가양동),대전광역시 동구 가양동 122,가양1동,042-259-7441,
143,동구,행정복지센터,가양2동행정복지센터,대전광역시 동구 흥룡로 33(가양동),대전광역시 동구 가양동 39-3,가양2동,042-259-7471,
144,동구,행정복지센터,용전동행정복지센터,대전광역시 동구 계족로 515(용전동),대전광역시 동구 용전동 28-8,용전동,042-259-7501,
145,동구,행정복지센터,성남동행정복지센터,대전광역시 동구 계족로368번길 70(성남동),대전광역시 동구 성남동 8-2,성남동,042-259-7531,
146,동구,행정복지센터,홍도동행정복지센터,대전광역시 동구 동산초교로34번길 56(홍도동),대전광역시 동구 홍도동 92-3,홍도동,042-259-7561,
147,동구,행정복지센터,삼성동행정복지센터,대전광역시 동구 태전로 138-12(삼성동),대전광역시 동구 삼성동 322-1,삼성동,042-259-7591,
148,동구,행정복지센터,대청동행정복지센터,대전광역시 동구 옥천로 633(세천동),대전광역시 동구 세천동 80-2, 대청동,042-259-7621,
149,동구,행정복지센터,산내동행정복지센터,대전광역시 동구 산내로1257번길 53(낭월동),대전광역시 동구 낭월동 738,산내동,042-259-7651,
150,동구,기타,용방마을아파트,대전광역시 동구 용운로 80(용운동),대전광역시 동구 용운동 460,용운동,042-274-9100,
