폐의약품수거장소명,폐의약품수거구분,소재지도로명주소,전화번호,데이터기준일자
사랑약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로 20 (비래동),042-636-9707,2025-08-18
행복한약국,폐의약품수거가능약국,대전광역시 대덕구 선비마을로23번길 51 (송촌동),,2025-08-18
한아름 약국,폐의약품수거가능약국,대전광역시 대덕구 계족산로 1 (중리동),042-637-2600,2025-08-18
초록약국,폐의약품수거가능약국,대전광역시 대덕구 대청로82번길 134 (신탄진동),042-933-2903,2025-08-18
유명한약국,폐의약품수거가능약국,대전광역시 대덕구 한밭대로1043번길 12-3 (오정동),,2025-08-18
행복약국,폐의약품수거가능약국,대전광역시 대덕구 덕암로148번안길 21 (상서동),042-933-0004,2025-08-18
메디팜큰사랑약국,폐의약품수거가능약국,"대전광역시 대덕구 신탄진로 821, 1층 (신탄진동)",042-935-4949,2025-08-18
대덕평안약국,폐의약품수거가능약국,"대전광역시 대덕구 아리랑로 217, 1층 (법동)",042-672-6831,2025-08-18
새빛약국,폐의약품수거가능약국,"대전광역시 대덕구 대덕대로 1591-1, 101, 102호 (석봉동, 로하스빌딩)",042-862-1994,2025-08-18
태평양약국,폐의약품수거가능약국,"대전광역시 대덕구 대덕대로 1556, 1층 (석봉동)",042-931-0309,2025-08-18
오동중앙약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로 629-9, 1층 (법동)",042-637-0193,2025-08-18
한우리약국,폐의약품수거가능약국,"대전광역시 대덕구 계족산로 2, 1층 102,103호 (중리동, 조은크리닉)",042-673-4927,2025-08-18
옵티마영화약국,폐의약품수거가능약국,대전광역시 대덕구 덕암로265번길 25 (덕암동),042-931-7570,2025-08-18
서한약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로 629, 1층 (법동)",042-639-6307,2025-08-18
김종삼약국,폐의약품수거가능약국,"대전광역시 대덕구 신탄진로218번길 32, 1층 102호 (와동)",042-637-1907,2025-08-18
웅진한약국,폐의약품수거가능약국,대전광역시 대덕구 중리로 9 (중리동),,2025-08-18
선비약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로690번길 21, 110호 (법동, 선비마을1단지상가)",042-636-4575,2025-08-18
예손약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 230 (와동),042-627-8735,2025-08-18
나자로약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1428 (읍내동),042-636-1440,2025-08-18
건강약국,폐의약품수거가능약국,대전광역시 대덕구 중리로 60 (중리동),042-626-9707,2025-08-18
온누리 대우당약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 804 (신탄진동),042-932-3812,2025-08-18
동인당약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로15번길 2 (비래동),042-634-2202,2025-08-18
새희망약국,폐의약품수거가능약국,"대전광역시 대덕구 신탄진로 847, 1층 (신탄진동)",042-252-4120,2025-08-18
산들약국,폐의약품수거가능약국,"대전광역시 대덕구 우암로 412, 102호 (비래동)",042-621-1246,2025-08-18
새일약국,폐의약품수거가능약국,"대전광역시 대덕구 대덕대로 1608, 1층 (석봉동)",042-933-1550,2025-08-18
보화당약국,폐의약품수거가능약국,대전광역시 대덕구 대덕대로1470번길 30 (목상동),042-933-1889,2025-08-18
동해약국,폐의약품수거가능약국,대전광역시 대덕구 동서대로 1805 (송촌동),042-624-5565,2025-08-18
보령당약국,폐의약품수거가능약국,대전광역시 대덕구 중리로76번길 1 (중리동),042-622-2773,2025-08-18
수현온누리약국,폐의약품수거가능약국,대전광역시 대덕구 대덕대로1470번길 37 (목상동),042-931-4337,2025-08-18
새신탄약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 836 (신탄진동),042-933-4412,2025-08-18
연합약국,폐의약품수거가능약국,대전광역시 대덕구 동춘당로 179 (법동),042-622-3456,2025-08-18
씨티약국,폐의약품수거가능약국,대전광역시 대덕구 동심1길 26 (대화동),042-320-9732,2025-08-18
푸른약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1209(오정동),,2025-08-18
생수당약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로 37 (비래동),042-632-5489,2025-08-18
해뜰약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로7번길 1 (비래동),042-622-7714,2025-08-18
참사랑약국,폐의약품수거가능약국,대전광역시 대덕구 중리북로 4 (법동),042-634-2268,2025-08-18
두레약국,폐의약품수거가능약국,대전광역시 대덕구 계족로663번길 22 (법동),042-635-7515,2025-08-18
하나약국,폐의약품수거가능약국,대전광역시 대덕구 계족산로 5 (중리동),042-638-1919,2025-08-18
메디팜송촌약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로94번길 11-27, 1층 108,109호 (송촌동, 하나로프라자)",042-635-9291,2025-08-18
홍인약국,폐의약품수거가능약국,대전광역시 대덕구 한밭대로 1015 (오정동),042-628-8288,2025-08-18
상아약국,폐의약품수거가능약국,"대전광역시 대덕구 선비마을로23번길 65, 1층 102호 (송촌동)",042-638-8275,2025-08-18
송촌프라자약국,폐의약품수거가능약국,대전광역시 대덕구 동춘당로94번길 11-15 (송촌동),042-623-2447,2025-08-18
명문약국,폐의약품수거가능약국,대전광역시 대덕구 송촌북로16번길 57 (송촌동),042-631-8191,2025-08-18
보건당약국,폐의약품수거가능약국,대전광역시 대덕구 대덕대로 1590 (석봉동),042-932-3815,2025-08-18
신탄선사약국,폐의약품수거가능약국,대전광역시 대덕구 석봉로3번길 39 (석봉동),042-934-1339,2025-08-18
튼튼약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로 667, 1층 (법동, 대덕빌딩)",042-626-7582,2025-08-18
동이약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1123 (오정동),042-673-0108,2025-08-18
새하나약국,폐의약품수거가능약국,대전광역시 대덕구 계족산로5번길 115 (법동),042-637-1093,2025-08-18
한울명천약국,폐의약품수거가능약국,대전광역시 대덕구 비래동로 40 (비래동),042-673-2773,2025-08-18
유진약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로94번길 11-21, 102,103호 (송촌동, 은혜프라자)",042-636-0631,2025-08-18
제성당약국,폐의약품수거가능약국,대전광역시 대덕구 동춘당로23번길 68 (송촌동),042-636-5386,2025-08-18
세미약국,폐의약품수거가능약국,"대전광역시 대덕구 중리북로 41, 1층 (중리동)",042-673-1972,2025-08-18
에이스보람약국,폐의약품수거가능약국,"대전광역시 대덕구 동춘당로 178, 상가동 109호 (법동, 보람아파트)",042-627-3512,2025-08-18
온누리태전약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로663번길 23, 상가동 103호 (법동, 유원아파트)",042-631-8496,2025-08-18
신탄대한약국,폐의약품수거가능약국,대전광역시 대덕구 석봉로38번길 67 (석봉동),042-934-7575,2025-08-18
세진약국,폐의약품수거가능약국,"대전광역시 대덕구 대전로1177번길 63-8, 23호 (오정동)",042-636-6601,2025-08-18
김명관약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진로 814 (신탄진동),042-933-2422,2025-08-18
삼호약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로663번길 32, 103,104호 (법동, 삼호아파트)",042-623-2305,2025-08-18
동남약국,폐의약품수거가능약국,"대전광역시 대덕구 계족로761번길 24, 111호 (읍내동, 현대상가)",042-631-9932,2025-08-18
대전약국,폐의약품수거가능약국,대전광역시 대덕구 중리로 82 (중리동),042-622-5869,2025-08-18
세실약국,폐의약품수거가능약국,대전광역시 대덕구 한밭대로1036번길 37 (오정동),042-622-4779,2025-08-18
신성약국,폐의약품수거가능약국,대전광역시 대덕구 신탄진동로23번길 48 (신탄진동),042-932-2916,2025-08-18
메디팜프라자약국,폐의약품수거가능약국,대전광역시 대덕구 대전로 1369 (읍내동),042-672-8305,2025-08-18
신탄약국,폐의약품수거가능약국,대전광역시 대덕구 대덕대로1470번길 68 (목상동),042-932-1155,2025-08-18
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
