순번,약국명칭,약국소재지(도로명),약국전화번호
79,수약국,"대전광역시 서구 대덕대로 194, 백마빌딩 1층 (둔산동)",042-477-7557
80,건양사랑약국,대전광역시 서구 관저동로 164 (관저동),042-543-0561
81,열린약국,"대전광역시 서구 관저북로 78, 106호 (관저동)",042-542-2306
82,연세코끼리약국,대전광역시 서구 계룡로 613 (탄방동),042-536-9484
83,해맑은약국,"대전광역시 서구 도안동로11번길 10, 1층 103,105호 (도안동)",042-541-8277
84,관저길약국,"대전광역시 서구 구봉로 121, 101호 (관저동)",042-541-4764
85,메디팜우리약국,"대전광역시 서구 계룡로553번길 60, 다빈치병원 (탄방동)",042-331-9023
86,선사일등약국,대전광역시 서구 청사서로 26 (월평동),042-487-9265
87,큰마을약국,"대전광역시 서구 대덕대로 150, 203호 (갈마동, 큰마을아파트)",042-523-3817
88,이화누리약국,"대전광역시 서구 청사로 130, 103호 (월평동, 청사로프라자)",042-477-3331
89,가장태평양약국,"대전광역시 서구 동서대로 1147, 온누리크리닉 (가장동)",042-526-2000
90,라라약국,대전광역시 서구 월평북로 82 (월평동),042-486-5454
91,회복약국,"대전광역시 서구 문예로 65, 3층 (둔산동)",042-484-8276
92,비타민약국,"대전광역시 서구 복수북로 42 (복수동, 삼익목화아파트)",042-586-1033
93,을지다사랑약국,"대전광역시 서구 대덕대로234번길 45 (둔산동, 하이베라스)",042-472-5700
94,메디팜유명약국,"대전광역시 서구 계백로 1135, 109호 (가수원동)",042-542-4499
95,크레온온누리약국,"대전광역시 서구 둔산남로 85, 크레온오피스텔 (둔산동)",042-487-1080
96,온약국,대전광역시 서구 대덕대로 396 (만년동),042-483-4114
97,둔산대형약국,대전광역시 서구 문예로 41 (둔산동),042-489-6267
98,탄방우리약국,"대전광역시 서구 문정로48번길 70, 1층 (탄방동)",042-486-9911
99,상수약국,대전광역시 서구 대덕대로 226 (둔산동),042-486-0416
100,미래수약국,"대전광역시 서구 관저로 83, 2층 (관저동, 신선마을아파트)",042-544-3375
101,남화약국,"대전광역시 서구 청사로 5 (월평동, 하나로아파트)",042-477-0252
102,둔산태평양약국,대전광역시 서구 대덕대로 202 (둔산동),042-482-9990
103,태평양약국,대전광역시 서구 정림로 56-1 (정림동),042-584-7755
104,라임약국,"대전광역시 서구 둔산로 144, 지하1층층 (둔산동)",042-477-0027
105,굿모닝약국,대전광역시 서구 계백로 1280 (정림동),042-586-5126
106,미래조이약국,"대전광역시 서구 대덕대로176번길 15, 미래여성병원 1층 (둔산동)",042-485-5485
107,둔산행복한약국,"대전광역시 서구 대덕대로 238, 1층 101호 (둔산동)",042-476-7737
108,광장약국,대전광역시 서구 관저북로13번길 23-12 (관저동),042-542-7788
109,선사온누리약국,"대전광역시 서구 청사로 121, 101호 (월평동)",042-472-3485
110,대청정문약국,대전광역시 서구 혜천로 15 (정림동),042-581-1224
111,대청건강약국,대전광역시 서구 혜천로 15 (정림동),042-586-5243
112,애플약국,"대전광역시 서구 대덕대로 179, 엠제이피부과  굿모닝어학원 (둔산동)",042-486-5188
113,원약국,대전광역시 서구 문정로 88 (탄방동),042-487-7278
114,힐링한약국,대전광역시 서구 둔산로206번길 7 (둔산동),042-471-2235
115,도아약국,"대전광역시 서구 청사로 148, 매그놀리아 1층 102호 (둔산동)",042-484-2002
116,도안종로한약국,대전광역시 서구 동서대로 696 (도안동),042-822-4862
117,기쁨가득한약국,"대전광역시 서구 갈마로 79, 1층 102호 (갈마동)",042-536-0216
118,참사랑온누리약국,대전광역시 서구 계룡로553번안길 37 (탄방동),042-485-5882
119,건양건강약국,"대전광역시 서구 관저동로 162, 건양프라자 108호, 205호 (관저동)",042-543-5243
120,가수원프라자약국,대전광역시 서구 계백로 1141 (가수원동),042-543-3132
121,을지실로암약국,대전광역시 서구 대덕대로234번길 45 (둔산동),042-482-0036
122,상록약국,"대전광역시 서구 청사로 281, 120호 (둔산동, 샘머리아파트2단지)",042-472-5858
123,한신약국,대전광역시 서구 문정로 174 (둔산동),042-482-5898
124,비엔씨약국,대전광역시 서구 대덕대로 183 (둔산동),042-471-0755
125,그린약국,"대전광역시 서구 도안중로 306, 1층 (도안동)",042-545-2588
126,코끼리약국,대전광역시 서구 도안동로 3 (가수원동),042-542-7505
127,둔산한솔약국,"대전광역시 서구 둔산중로 38, 8층 (둔산동, 둔산메트로존빌딩)",042-489-8749
128,늘조은약국,대전광역시 서구 정림로 62-1 (정림동),042-321-1342
129,서울약국,"대전광역시 서구 계백로 1426, 107호 (도마동)",042-582-8797
130,참건강약국,"대전광역시 서구 도산로393번길 62, 101호 (탄방동, 필하우스)",042-535-5256
131,탄방한마음약국,대전광역시 서구 문정로 30 (탄방동),042-489-5952
132,서울온누리약국,대전광역시 서구 문정로 7 (둔산동),042-488-3893
133,좋은약국,"대전광역시 서구 갈마로 255, 2층 (괴정동)",042-585-3893
134,드림약국,"대전광역시 서구 도안동로 177, 109-1호 (도안동)",042-585-2300
135,건양행복약국,"대전광역시 서구 관저동로 162, 109, 206호 (관저동, 건양프라자)",042-541-6331
136,스타약국,"대전광역시 서구 구봉로 139, 105호 (관저동)",042-484-7255
137,건강플러스약국,"대전광역시 서구 둔산북로 121, 109호 (둔산동, 아너스빌)",042-472-3131
138,메디팜보령약국,대전광역시 서구 문정로 178 (둔산동),042-488-9291
139,프라자약국,"대전광역시 서구 문예로 19, 스카이빌딩 1층 (탄방동)",042-477-0222
140,시청비타민약국,"대전광역시 서구 둔산중로 50, 파이낸스빌딩 113호 (둔산동)",042-486-1701
141,세란약국,"대전광역시 서구 둔산로 34, 102호 (둔산동, 씨엔씨타워)",042-486-0214
142,연합약국,대전광역시 서구 계룡로 605 (탄방동),042-537-5590
143,둔산건강약국,"대전광역시 서구 둔산북로 36, 305호 (둔산동, 대영프라자)",042-482-9735
144,길조온누리약국,"대전광역시 서구 도안남로 148, 101호 (관저동, 봉우타워)",042-544-2440
145,메디팜큰사랑약국,"대전광역시 서구 월평로 58, 1층 (월평동)",042-472-9111
146,성모약국,"대전광역시 서구 계백로 1442, 1층 (도마동)",042-585-7898
147,타임약국,"대전광역시 서구 도안북로 107, 106호 (도안동, 성광타워도안)",042-826-7552
148,맑은샘약국,"대전광역시 서구 도산로253번길 45, 108호 (내동)",042-534-8900
149,필약국,"대전광역시 서구 둔산남로 87, 1층 4호 (둔산동)",042-488-6363
150,관저온누리약국,"대전광역시 서구 관저중로 72, 1층 (관저동)",042-541-7570
151,상아약국,"대전광역시 서구 둔산로 14, 115호 (둔산동)",042-471-7320
152,우리들약국,대전광역시 서구 계룡로 621 (탄방동),070-4416-4050
153,우성약국,"대전광역시 서구 정림동로5번길 23, 1층 (정림동)",042-582-1522
154,대전마더스약국,"대전광역시 서구 둔산로 201, 지하1층 (둔산동, 세이브존)",070-4406-4338
155,사랑약국,대전광역시 서구 신갈마로 133 (갈마동),042-537-5546
156,건강약국,대전광역시 서구 계백로 1166-12 (가수원동),042-544-8002
157,스마트약국,대전광역시 서구 대덕대로 164 (갈마동),042-536-5588
158,박효정약국,"대전광역시 서구 만년로 45, 상가 104호 (만년동, 초원아파트)",042-488-8780
159,한밭약국,대전광역시 서구 계백로 1418 (도마동),042-585-6878
160,플러스약국,"대전광역시 서구 문정로48번길 58, 1층 (탄방동)",042-482-5525
161,고운약국,"대전광역시 서구 대덕대로 195, 1층 (둔산동, 현대빌딩)",042-489-1256
162,마더스약국,"대전광역시 서구 둔산북로 41, 3층 (둔산동, 이마트)",042-484-7845
163,신보건약국,대전광역시 서구 만년로 78 (만년동),042-472-6388
164,초록큰사랑약국,"대전광역시 서구 복수동로 61, 102호 (복수동)",042-587-0055
165,서정약국,"대전광역시 서구 계백로 1400, 1층 (도마동)",042-533-2938
166,스마일약국,대전광역시 서구 둔산남로 107 (둔산동),042-489-4422
167,봄약국,대전광역시 서구 동서대로 1072 (변동),042-532-1344
168,청사약국,"대전광역시 서구 청사로 189, 지하1층 (둔산동, 정부종합청사)",042-487-1161
169,정산한약국,"대전광역시 서구 갈마로69번길 3, 1층 일부호 (갈마동)",042-537-1228
170,마음편한약국,대전광역시 서구 둔산중로 74 (둔산동),042-487-4602
171,다사랑약국,"대전광역시 서구 계룡로 618, 1층 (괴정동)",042-537-5300
172,둔산드림팜약국,대전광역시 서구 대덕대로167번길 5 (갈마동),042-536-5567
173,만년약국,"대전광역시 서구 만년남로 7, 1층 (만년동)",042-489-5557
174,행복가득가톨릭약국,"대전광역시 서구 도산로 351, 가톨릭병원 1층 (용문동)",042-534-0222
175,둔산성모약국,"대전광역시 서구 문예로 43, 지하1층 (둔산동)",042-476-0332
176,갤러리비타민약국,대전광역시 서구 대덕대로 203 (둔산동),042-486-0505
177,더희망약국,대전광역시 서구 둔산로 77 (둔산동),042-488-4050
178,인화약국,대전광역시 서구 도솔로 68 (도마동),042-523-1343
179,은하수약국,대전광역시 서구 둔산남로 46 (둔산동),042-483-0058
180,메디팜선심약국,"대전광역시 서구 계룡로 356, 1층 (갈마동)",042-522-0656
181,아은약국,"대전광역시 서구 도산로 176, 1층 (변동)",042-523-5988
182,우리약국,"대전광역시 서구 둔산중로 38, 109호 (둔산동, 둔산메트르존빌딩)",042-484-8687
183,성원약국,"대전광역시 서구 문정로 62, 프라임빌딩 1층 (탄방동)",042-485-1231
184,오렌지약국,"대전광역시 서구 계룡로 616, 1층 (괴정동)",042-522-6787
185,케이엠티약국,"대전광역시 서구 계룡로 586, 105호 (괴정동)",042-528-8826
186,대전조이약국,"대전광역시 서구 계룡로553번길 18, 조이빌딩 1층 (탄방동)",042-483-2835
187,늘푸른약국,"대전광역시 서구 대덕대로242번길 26, 1층 (둔산동)",042-476-6763
188,우리팜약국,"대전광역시 서구 대덕대로 219, 5층 (둔산동)",042-477-0021
189,더타임약국,"대전광역시 서구 둔산로31번길 21, 1층 (둔산동)",042-487-3666
190,탄방대한약국,"대전광역시 서구 문정로2번길 95, 주안빌딩 102, 103호 (탄방동)",042-487-0019
191,둔산하늘약국,"대전광역시 서구 둔산중로 38, 6층 (둔산동, 둔산메트로존)",042-486-3350
192,올리브약국,대전광역시 서구 월평북로 88 (월평동),042-489-0220
193,선화한약국,대전광역시 서구 계룡로264번길 4 (월평동),042-528-2848
194,미소약국,대전광역시 서구 갈마로 245 (괴정동),042-528-6688
195,준약국,"대전광역시 서구 복수동로 39-26, 103호 (복수동, 초록마을@3단지상가)",042-586-2226
196,흰돌약국,"대전광역시 서구 둔산북로 215 (둔산동, 가람아파트상가)",042-482-0170
197,오라클약국,"대전광역시 서구 대덕대로 182, 1층 (둔산동, 오라클빌딩)",042-471-5661
198,대전온누리약국,대전광역시 서구 관저동로 88 (관저동),042-543-4119
199,블루밍약국,"대전광역시 서구 도산로253번길 51, 1층 (내동)",042-525-8383
200,은하약국,대전광역시 서구 탄방로7번길 65 (탄방동),042-486-9600
201,승보약국,대전광역시 서구 계룡로 633 (탄방동),042-523-7485
202,들뫼풀한약국,대전광역시 서구 도마시장1길 7-3 (도마동),042-536-6080
203,천사약국,"대전광역시 서구 청사로 228, 106호 (둔산동, 청사오피스텔)",042-487-5370
204,다나약국,"대전광역시 서구 둔산로 121, 1층 (둔산동, 연당빌딩)",042-484-1743
205,둔산을지약국,"대전광역시 서구 대덕대로242번길 48, 1층 (둔산동)",042-489-2751
206,을지온누리약국,"대전광역시 서구 대덕대로242번길 48, 1층 (둔산동)",042-488-3882
207,신영흥약국,대전광역시 서구 도산로 353 (용문동),042-523-5633
208,퍼스트약국,"대전광역시 서구 계백로 1440, 1층 (도마동)",042-581-1151
209,도마프라자약국,"대전광역시 서구 도산로 45, 1층 (도마동)",042-582-3344
210,둔산시온약국,"대전광역시 서구 대덕대로176번길 9, 1층 (둔산동)",042-364-2525
211,조아약국,대전광역시 서구 둔산로 214-1 (둔산동),042-485-6920
212,나라약국,대전광역시 서구 관저로 172 (관저동),042-541-5276
213,경보약국,대전광역시 서구 둔산로 67 (둔산동),042-484-8520
214,온누리약국,대전광역시 서구 계백로1158번길 114 (가수원동),042-546-2277
215,내동우리약국,"대전광역시 서구 동서대로 981, 1층 (내동)",042-534-3176
216,정림푸른약국,대전광역시 서구 정림로 18 (정림동),042-582-2048
217,가장약국,"대전광역시 서구 도산로 286, 가장크리닉 1층 (가장동)",042-538-5566
218,원앙약국,"대전광역시 서구 관저북로 12, 1층 (관저동)",042-541-1314
219,연일약국,"대전광역시 서구 둔산로 228, 1층 (둔산동)",042-472-4947
220,삼일약국,"대전광역시 서구 월평중로 36, 1층 (월평동)",042-485-9831
221,푸른솔약국,대전광역시 서구 월평중로 24 (월평동),042-488-5203
222,보령당약국,대전광역시 서구 도산로 74 (도마동),042-527-7592
223,서부실로암약국,"대전광역시 서구 도산로 51, 1층 (도마동)",042-537-4064
224,월평종로약국,대전광역시 서구 청사서로 12 (월평동),042-487-8588
225,일영약국,"대전광역시 서구 청사로 228, 307호 (둔산동, 청사오피스텔)",042-484-2146
226,동해약국,대전광역시 서구 문정로 32 (탄방동),042-472-8130
227,인과원약국,대전광역시 서구 신갈마로 120 (갈마동),042-527-0072
228,약손약국,"대전광역시 서구 월평북로 11, 103호 (월평동, 주공아파트상가)",042-484-2718
229,시정약국,대전광역시 서구 도산로 197 (변동),042-525-3300
230,종로약국,대전광역시 서구 둔산로 206 (둔산동),042-472-4757
231,새봄약국,"대전광역시 서구 둔산로 134, 3층 (둔산동)",042-484-5333
232,도마태평양약국,"대전광역시 서구 배재로 182-1, 1층 (도마동)",042-528-7774
233,세원약국,"대전광역시 서구 가수원로 106, 5-108호 (가수원동, 은아3단지상가)",042-541-0645
234,대영온누리약국,대전광역시 서구 배재로 156 (도마동),042-522-8096
235,누리태평양약국,대전광역시 서구 도산로 354 (용문동),042-534-4627
236,백제약국,"대전광역시 서구 신갈마로 102 (갈마동, 갈마그랜드상가)",042-535-8419
237,은아약국,"대전광역시 서구 계백로1158번길 9, 세브란스의원 1층 (가수원동)",042-541-0390
238,도마약국,대전광역시 서구 계백로 1410 (도마동),042-585-5633
239,옵티마진명약국,"대전광역시 서구 도산로 159 (변동, 신성빌딩)",042-527-8648
240,하나로약국,"대전광역시 서구 계백로 1436, 지하1층 (도마동)",042-582-2411
241,향촌약국,"대전광역시 서구 둔산로 15, 109호 (둔산동, 향촌아파트상가)",042-485-8874
242,혜성약국,"대전광역시 서구 둔산남로 30, 108호 (둔산동, 녹원아파트상가)",042-485-6355
243,황실약국,"대전광역시 서구 청사로 65, 115호 (월평동, 황실코아)",042-489-6733
244,실로암약국,"대전광역시 서구 관저로 164, 1층 (관저동)",042-545-0638
245,목화약국,"대전광역시 서구 복수서로 50, 103호 (복수동, 삼익목화아파트)",070-7554-4236
246,지영약국,"대전광역시 서구 월평북로 11, 106호 (월평동, 주공아파트상가)",042-484-2076
247,갈마약국,"대전광역시 서구 계룡로 353, 1층 (갈마동)",042-486-9204
248,해동약국,대전광역시 서구 도산로 412 (용문동),042-535-1515
249,메디팜국화당약국,"대전광역시 서구 둔산로 201 (둔산동, 국화아파트상가)",042-482-7932
250,문성온누리약국,대전광역시 서구 둔산로 232 (둔산동),042-482-7623
251,해성약국,대전광역시 서구 제비네4길 129 (도마동),042-535-5231
252,상명약국,대전광역시 서구 갈마로 259 (괴정동),042-522-5946
253,정성약국,"대전광역시 서구 갈마로 251, 한민쇼핑 (괴정동)",042-522-3367
254,지씨지센타약국,"대전광역시 서구 월평새뜸로4번길 95, 1층 101호 (월평동)",042-487-8871
255,구인당약국,"대전광역시 서구 동서대로 1016, 1층 (내동)",042-522-7321
256,을지참조은약국,"대전광역시 서구 둔산서로 81, 1층 (둔산동)",042-489-2552
257,구봉온누리약국,"대전광역시 서구 관저로 84, 107호 (관저동, 구봉마을8단지 상가)",042-542-7755
258,롯데약국,"대전광역시 서구 신갈마로 46 (내동, 롯데아파트상가)",042-523-6712
259,기성약국,대전광역시 서구 벌곡로 653-1 (흑석동),042-584-4618
260,동화약국,"대전광역시 서구 관저로 157, 하이존 207(일부)호 (관저동)",042-545-1508
261,허룡약국,대전광역시 서구 도솔로 313 (괴정동),042-525-5050
262,천수약국,대전광역시 서구 도산로 276 (가장동),042-533-5014
