순번,약국명칭,약국전화번호,약국소재지(도로명)
38,보명사약국,042-285-4900,"대전광역시 동구 대전로 782-1, 1층 (원동)"
39,희망약국,042-223-0371,대전광역시 동구 대전로 787-2 (중동)
40,진약국,042-223-7977,"대전광역시 동구 대전로 832-2, 1층 (정동)"
41,독일약국,042-257-5665,"대전광역시 동구 대전로 787, 1층 (중동)"
42,청담약국,042-531-6480,대전광역시 동구 대전로 771 (원동)
43,유림약국,042-274-4782,대전광역시 동구 대전로779번길 5 (원동)
44,동해당약국,042-257-3229,대전광역시 동구 대전로815번길 1 (정동)
45,중도한약국,042-253-8829,대전광역시 동구 대전로813번길 24 (중동)
46,대동약국,042-256-0787,대전광역시 동구 중앙로 209-1 (중동)
47,한독약국,042-256-8055,대전광역시 동구 중앙로 193 (중동)
48,한사랑약국,042-222-2560,대전광역시 동구 대전천동로 574 (중동)
49,동춘약국,042-273-2244,대전광역시 동구 대전로 788 (중동)
50,봄약국,042-624-7800,"대전광역시 동구 동대전로 161-1, 1층 (자양동)"
51,365열린약국,,"대전광역시 동구 한밭대로 1254, 1층 (용전동)"
52,마음약국,042-626-1387,대전광역시 동구 동서대로1695번길 4(용전동)
53,대전시민약국,042-282-7575,"대전광역시 동구 동서대로 1677, 1층 (용전동)"
54,새소망약국,042-625-7927,"대전광역시 동구 계족로 425, 1층 (용전동)"
55,아남메디컬약국,042-621-2276,"대전광역시 동구 동서대로 1641, 아남빌딩 별관 1층 (용전동)"
56,튼튼약국,042-633-8272,"대전광역시 동구 계족로 516, 1층 (용전동)"
57,한우리약국,042-633-7812,"대전광역시 동구 동서대로 1689, 5층 505호 (용전동, 대전복합터미널(서관))"
58,일심약국,042-637-0059,"대전광역시 동구 동서대로 1689, 1층 EW143호 (용전동, 대전복합터미널(서관))"
59,유산균약국,042-584-2220,대전광역시 동구 계족로 476 (용전동)
60,알찬약국,042-633-0216,"대전광역시 동구 동서대로 1661, 1층 (용전동)"
61,노닐약국,042-622-5511,대전광역시 동구 동서대로 1689 (용전동)
62,백화당약국,042-633-2046,"대전광역시 동구 동서대로 1653, 1층 (용전동)"
63,온누리윤약국,042-634-0344,대전광역시 동구 계족로 490 (용전동)
64,용전약국,042-624-8981,"대전광역시 동구 계족로 416, 1층 (용전동)"
65,오복약국,042-286-5622,"대전광역시 동구 동부로73번길 20-6, 에이스프라자 1층 101호 (용운동)"
66,늘푸른약국,042-285-2255,"대전광역시 동구 용운로 159-1, 1층 (용운동)"
67,123약국,042-300-0123,"대전광역시 동구 용운로 167, 1층 (용운동)"
68,용운태평양약국,042-284-5554,"대전광역시 동구 백룡로 145, 2층 (용운동)"
69,정다운약국,042-273-7272,"대전광역시 동구 동부로73번길 20-7, 용운동 근생시설 신축공사 1층 (용운동)"
70,정약국,042-286-5067,"대전광역시 동구 계족로140번길 178, 1층 (용운동)"
71,참다림한약국,042-283-8895,대전광역시 동구 백룡로 82 (용운동)
72,대전한약국,042-286-4568,대전광역시 동구  대학로  62-10 (용운동)
73,동대전약국,042-282-5550,대전광역시 동구 용운로 170-1 (용운동)
74,도담약국,042-273-3075,"대전광역시 동구 새들2길 30, 104호 (신흥동)"
75,예손약국,070-7636-9889,"대전광역시 동구 계족로 63, 동대전농협 1층 (인동)"
76,어진약국,042-273-8279,"대전광역시 동구 계족로 73, 1층 (신흥동)"
77,성남약국,042-672-2957,"대전광역시 동구 계족로 362, 성남약국 1층 (성남동)"
78,푸른약국,042-631-7578,"대전광역시 동구 동서대로1668번길 33, 청암빌딩 1층 (성남동)"
79,토마토약국,042-632-7575,"대전광역시 동구 동서대로 1688, 1층 (성남동)"
80,대덕약국,042-638-3533,대전광역시 동구 동서대로 1676 (성남동)
81,사랑우리들약국,042-625-1945,대전광역시 동구 계족로392번길 64 (성남동)
82,한솔약국,042-635-7388,대전광역시 동구 계족로 393-1 (성남동)
83,효촌약국,042-628-6429,대전광역시 동구 계족로382번길 35 (성남동)
84,하나약국,042-635-9639,대전광역시 동구 우암로 172 (성남동)
85,대성당약국,042-626-6388,대전광역시 동구 계족로 324 (성남동)
86,늘사랑약국,042-628-0997,대전광역시 동구 현암로 24 (삼성동)
87,우리온누리약국,042-622-9885,"대전광역시 동구 대전로 889, 1층 (삼성동)"
88,선인약국,042-625-2949,대전광역시 동구 대전로815번길 133 (삼성동)
89,새시대약국,042-624-3115,대전광역시 동구 태전로 163 (삼성동)
90,소영약국,042-672-4170,대전광역시 동구 태전로 175 (삼성동)
91,한일약국,042-631-1119,대전광역시 동구 우암로147번길 3 (삼성동)
92,명지약국,042-672-6683,대전광역시 동구 태전로 169 (삼성동)
93,산내햇님약국,042-273-8575,"대전광역시 동구 산내로1287번길 10-5, 1층 (낭월동)"
94,정류장약국,042-285-2900,대전광역시 동구 산내로 1317 (낭월동)
95,중앙약국,042-286-7870,대전광역시 동구 대전로 307 (대성동)
96,동인약국,042-271-7427,대전광역시 동구 산내로 1360 (낭월동)
97,민정약국,042-282-6264,"대전광역시 동구 동대전로 72-1, 1층 (대동)"
98,건강제일약국,042-632-0881,대전광역시 동구 동대전로 90 (대동)
99,더드림약국,042-334-7582,"대전광역시 동구 동대전로46번길 11, 101호 (대동)"
100,메디컬대동약국,042-271-8837,"대전광역시 동구 계족로 171, 1층 102호 (대동)"
101,구세약국,042-672-8588,대전광역시 동구 동대전로 80 (대동)
102,남정약국,042-623-1688,대전광역시 동구 동대전로 59 (대동)
103,명문당한약국,042-321-6638,"대전광역시 동구 비래서로42번길 69, 1층 (가양동)"
104,시온약국,042-639-5579,"대전광역시 동구 동대전로 286, 1층 (가양동)"
105,새가양약국,042-625-8997,대전광역시 동구 우암로 326 (가양동)
106,녹십자약국,042-623-1223,대전광역시 동구 동대전로284번길 3 (가양동)
107,신독일약국,042-635-2300,대전광역시 동구 우암로 310 (가양동)
108,신유약국,042-625-0172,"대전광역시 동구 동서대로1748번길 82, 1층 (가양동)"
109,데일리약국,,"대전광역시 동구 동서대로 1722, 213호 (가양동, 힐스테이트 가양 더와이즈)"
110,웃어요약국,042-672-9975,"대전광역시 동구 동대전로 231, 제2동 1층 (가양동)"
111,다사랑약국,042-636-3364,대전광역시 동구 동대전로 270 (가양동)
112,대영약국,042-621-5989,대전광역시 동구 동대전로 288 (가양동)
113,다정약국,042-633-3967,대전광역시 동구 우암로 229 (가양동)
114,금강약국,042-273-2121,대전광역시 동구 대전로 786-1 (원동)
115,낭월우리약국,042-272-5988,대전광역시 동구 곤룡로 6 (낭월동)
116,건강약국,,"대전광역시 동구 동대전로 272, 타임빌딩 101호 (가양동)"
117,진 한약국,042-636-9157,"대전광역시 동구 계족로 495, 1층 (용전동)"
118,조은약국,042-622-1262,대전광역시 동구 동서대로1520번길 28 (삼성동)
119,삼성약국,042-631-6654,대전광역시 동구 계족로 412 (용전동)
120,가오예시티약국,042-286-2200,대전광역시 동구 동구청로 95 (가오동)
121,하늘약국,042-286-2275,"대전광역시 동구 은어송로 62, 105호 (가오동, 지오빌딩)"
122,해오름약국,042-282-8300,대전광역시 동구 계족로 75 (신흥동)
123,푸른태평양약국,042-632-8800,대전광역시 동구 충정로 137 (자양동)
124,태평양약국,042-633-7575,대전광역시 동구 동대전로 81 (대동)
125,성모약국,042-672-9707,대전광역시 동구 동대전로 200 (자양동)
126,진문약국,042-283-4238,대전광역시 동구 충무로 193 (인동)
