시도명,시군구명,약국명,소재지도로명주소,전화번호
대전광역시,유성구,스마일약국,"대전광역시 유성구 북유성대로 206, 1층 (하기동)",042-826-6808
대전광역시,유성구,베스트힐링약국,"대전광역시 유성구 대학로 61, 1층 (봉명동)",042-824-9333
대전광역시,유성구,밝은약국,"대전광역시 유성구 관평1로 15, 더리치타운 1층 122호 (관평동)",042-933-2356
대전광역시,유성구,샛별약국,"대전광역시 유성구 전민로 71, 상가동 1층 104호 (전민동, 삼성푸른아파트)",042-861-1050
대전광역시,유성구,관평드림약국,"대전광역시 유성구 테크노중앙로 50, 1층 B102호 (관평동)",042-931-0045
대전광역시,유성구,생수약국,"대전광역시 유성구 대학로 9, 1층 (봉명동)",042-476-7578
대전광역시,유성구,따뜻한약국,"대전광역시 유성구 관평2로 26, 아카데미프라자 1층 104호 (관평동)",042-933-5968
대전광역시,유성구,봉명메디칼약국,"대전광역시 유성구 계룡로 120, 1층 102호 (봉명동)",042-000-0000
대전광역시,유성구,봉명메디칼약국,"대전광역시 유성구 계룡로 120, 1층 102호 (봉명동)",042-000-0000
대전광역시,유성구,봉명메디칼약국,"대전광역시 유성구 계룡로 120, 1층 102호 (봉명동)",042-000-0000
대전광역시,유성구,이나약국,"대전광역시 유성구 지족로 283, 104호 (지족동)",042-823-7576
대전광역시,유성구,새솔약국,"대전광역시 유성구 동서대로 679, 위더스타워 1층 104호 (원신흥동)",042-823-9040
대전광역시,유성구,메디치약국,"대전광역시 유성구 대덕대로 582, 옥토빌딩 104호 (도룡동)",042-862-0070
대전광역시,유성구,백제약국,대전광역시 유성구 원내로39번길 6 (원내동),042-000-0000
대전광역시,유성구,소망약국,대전광역시 유성구 죽동로297번길 76 (죽동),042-825-5603
대전광역시,유성구,조은약국,"대전광역시 유성구 계백로 927, 1층 2101, 2102호 (원내동)",042-542-5882
대전광역시,유성구,늘사랑약국,"대전광역시 유성구 죽동로297번길 68, CNU프라자  1층 101호 (죽동)",042-825-6750
대전광역시,유성구,더조은약국,"대전광역시 유성구 대학로 11, 1층 (봉명동)",042-823-8401
대전광역시,유성구,하연약국,"대전광역시 유성구 신성로72번길 66, 1층 (신성동)",042-862-0625
대전광역시,유성구,기린약국,"대전광역시 유성구 학하서로20번길 7, 1층 (계산동)",042-826-8765
대전광역시,유성구,반석약국,"대전광역시 유성구 반석로 20, 플러스존 1층 102호 (반석동)",042-825-3978
대전광역시,유성구,유성미래약국,"대전광역시 유성구 계룡로 150, 1층 (봉명동)",042-822-8221
대전광역시,유성구,튼튼약국,"대전광역시 유성구 도안대로 512-17, 104호 (봉명동)",042-822-8853
대전광역시,유성구,창생약국,"대전광역시 유성구 상대남로 26, 상가1동 3층 302호 (상대동, 도안신도시9블록 트리풀시티아파트)",042-635-0551
대전광역시,유성구,엠비엘약국,"대전광역시 유성구 원신흥남로12번길 8-10, MBL빌딩 1층 101호 (원신흥동)",042-825-3275
대전광역시,유성구,스타약국,"대전광역시 유성구 은구비남로33번길 29, 홍송빌딩 1층 101호 (지족동)",042-348-2200
대전광역시,유성구,웰빙약국,"대전광역시 유성구 계룡로 114, 대전유성BYC빌딩 105,106호 (봉명동)",042-822-8276
대전광역시,유성구,다솜약국,"대전광역시 유성구 학하서로20번길 21, 1층 (계산동)",042-826-8701
대전광역시,유성구,건강한약국,"대전광역시 유성구 구즉로 46, 1층 (송강동)",042-936-7533
대전광역시,유성구,생명사랑약국,"대전광역시 유성구 도안대로 511-13, 1층 111호 (상대동)",042-823-8276
대전광역시,유성구,지혜당약국,"대전광역시 유성구 어은로 52, 1층 (어은동, 엘리트독서실)",042-222-5574
대전광역시,유성구,참다솜약국,"대전광역시 유성구 계룡로 126, 1층 (봉명동)",042-825-3891
대전광역시,유성구,365일바른약국,"대전광역시 유성구 반석로 80, 근린생활시설동 1층 107호 (반석동, 반석 더샵)",042-000-0000
대전광역시,유성구,썬약국,"대전광역시 유성구 도안대로 511-7, 1층 108호 (상대동)",042-822-3610
대전광역시,유성구,맘e편한 약국,"대전광역시 유성구 계룡로132번길 10, 118호 (봉명동, 도안쎈트럴프라자)",042-000-0000
대전광역시,유성구,테크노약국,"대전광역시 유성구 테크노중앙로 32, 1층 102호 (관평동, 대덕테크노벨리)",042-935-3478
대전광역시,유성구,늘봄약국,"대전광역시 유성구 학하중앙로59번길 5-3, 101호 (덕명동, 호연빌딩)",042-825-9665
대전광역시,유성구,신성종로약국,대전광역시 유성구 신성남로 49 (신성동),042-862-3485
대전광역시,유성구,햇살약국,"대전광역시 유성구 도안대로 575, 1층 102호 (봉명동)",042-825-8763
대전광역시,유성구,아름다운약국,"대전광역시 유성구 노은동로 161, 1층 102호 (지족동)",042-822-1191
대전광역시,유성구,편안한약국,"대전광역시 유성구 죽동로279번길 101, 104호 (죽동, 죽동프라자)",042-826-8885
대전광역시,유성구,동산약국,"대전광역시 유성구 죽동로297번길 72, 103호 (죽동, KJ빌딩)",042-861-5811
대전광역시,유성구,믿음약국,"대전광역시 유성구 원내로39번길 17, 2층 202호 (원내동)",042-546-8855
대전광역시,유성구,푸른솔약국,"대전광역시 유성구 지족동로 150, 1층 104호 (지족동)",042-823-7335
대전광역시,유성구,관평무지개약국,대전광역시 유성구 테크노4로 98-4 (관평동),042-933-3525
대전광역시,유성구,라온약국,"대전광역시 유성구 대덕대로 588, 1층 (도룡동)",042-867-3411
대전광역시,유성구,다온약국,"대전광역시 유성구 지족로 282, 101호 (지족동, 코오롱타워2)",042-823-7572
대전광역시,유성구,신성태평양약국,"대전광역시 유성구 신성남로 45, 103호 (신성동)",042-861-8614
대전광역시,유성구,유명약국,"대전광역시 유성구 계룡로 81 (봉명동, 주택은행유성지점)",042-719-7509
대전광역시,유성구,노은온누리약국,"대전광역시 유성구 지족동로 152, 1층 (지족동, 코오롱타워)",042-823-5901
대전광역시,유성구,성모약국,"대전광역시 유성구 봉산로 22, 1층 (봉산동)",042-934-7202
대전광역시,유성구,혜화온누리약국,"대전광역시 유성구  도안대로  512-12, 101호 (봉명동)",042-823-3777
대전광역시,유성구,카이스트 약국,대전광역시 유성구 대학로 291 (구성동),042-350-0567
대전광역시,유성구,노은열린약국,대전광역시 유성구 노은동로 153 (지족동),042-822-1707
대전광역시,유성구,맑은약국,"대전광역시 유성구 지족로 373, 101호 (지족동)",042-825-5330
대전광역시,유성구,다정약국,대전광역시 유성구 진잠로74번길 51 (원내동),042-543-3536
대전광역시,유성구,대전태평양약국,대전광역시 유성구 대정로28번안길 83 (대정동),042-543-5006
대전광역시,유성구,장수약국,대전광역시 유성구 구즉로 72 (송강동),042-934-7702
대전광역시,유성구,두리약국,"대전광역시 유성구 자운로97번길 410, 1층 (신봉동)",042-861-1945
대전광역시,유성구,니즈웰약국,"대전광역시 유성구 원신흥남로28번길 88, 1층 108호 (원신흥동)",042-823-6863
대전광역시,유성구,은약국,"대전광역시 유성구 은구비로155번안길 37, 1층 (죽동)",042-826-1810
대전광역시,유성구,송강프라자약국,대전광역시 유성구 봉산로 23 (송강동),042-936-9361
대전광역시,유성구,메디팜 태평양 약국,대전광역시 유성구 엑스포로 469 (전민동),042-863-4118
대전광역시,유성구,새봄약국,"대전광역시 유성구 엑스포로 488, 5층 5-2-5호 (전민동)",042-863-2293
대전광역시,유성구,시티팜 약국,대전광역시 유성구 도안대로 591 (봉명동),042-825-0294
대전광역시,유성구,보명약국,대전광역시 유성구  노은로  166 (지족동),042-823-8838
대전광역시,유성구,서울플러스약국,"대전광역시 유성구 동서대로 685, 1층 (원신흥동)",042-823-8202
대전광역시,유성구,신세계약국,대전광역시 유성구  테크노4로  141,042-933-4664
대전광역시,유성구,명인약국,"대전광역시 유성구 테크노4로 105, 104호 (관평동)",042-585-5699
대전광역시,유성구,원약국,"대전광역시 유성구 대덕대로 586, 1층 (도룡동)",042-000-0000
대전광역시,유성구,한림원 한약국,"대전광역시 유성구 대학로 1, 3층 (봉명동)",042-483-1069
대전광역시,유성구,도안약국,대전광역시 유성구 도안대로 511-12 (상대동),042-822-4286
대전광역시,유성구,한솔 한약국,"대전광역시 유성구 학하중앙로 13, 2층 201호 (덕명동, 누리빌)",042-822-9693
대전광역시,유성구,관평뜰약국,"대전광역시 유성구 관평2로 56 (관평동,도오프라자 101호)",042-935-1119
대전광역시,유성구,실로암약국,"대전광역시 유성구 계룡로 105, 1층 101호 (봉명동)",042-826-9634
대전광역시,유성구,솔로몬 약국,"대전광역시 유성구 온천로 34, 유성빌딩 102호 (봉명동)",042-822-4317
대전광역시,유성구,미소약국,대전광역시 유성구 유성대로654번길 182 (봉명동),042-825-3243
대전광역시,유성구,한마을약국,"대전광역시 유성구 구즉로 16, 114호 (송강동, 한마을아파트상가)",042-935-0054
대전광역시,유성구,무지개약국,"대전광역시 유성구 은구비남로33번길 36, 103호 (지족동,홍인빌딩)",042-826-7095
대전광역시,유성구,혜민온누리약국,대전광역시 유성구 엑스포로 477-1 (전민동),042-863-0675
대전광역시,유성구,비타민태평양약국,"대전광역시 유성구 한밭대로492번길 16-18 (봉명동,1층)",042-826-2276
대전광역시,유성구,송강태평양약국,"대전광역시 유성구 구즉로 84 (봉산동,1층)",042-935-3007
대전광역시,유성구,미래약국,대전광역시 유성구 유성대로 727 (장대동),042-825-0706
대전광역시,유성구,행복한한약국,"대전광역시 유성구 노은로 71, 1층 102, 103호 (노은동, 노은스타돔아파트)",042-825-0822
대전광역시,유성구,관평사랑약국,대전광역시 유성구 관평2로 7-7 (관평동),042-671-6678
대전광역시,유성구,코끼리901약국,"대전광역시 유성구 노은로 170, 스타시티 1층 101, 102, 103, 104, 111, 112호 (지족동)",042-826-8533
대전광역시,유성구,영광종로약국,"대전광역시 유성구 반석로 23, 1층 104호 (반석동, 제일프라자)",042-931-6375
대전광역시,유성구,송강파맥스약국,"대전광역시 유성구 송강로42번길 61, 상가1동 지상1층 108호 (송강동, 청솔아파트)",042-934-1174
대전광역시,유성구,소나무약국,"대전광역시 유성구 송림로 20 (하기동, 송림마을아파트)",042-825-0322
대전광역시,유성구,유성하나약국,"대전광역시 유성구 계룡로 92, 304호 (봉명동, cj 나인파크)",042-826-7285
대전광역시,유성구,국민약국,대전광역시 유성구 계룡로 44 (봉명동),042-822-7018
대전광역시,유성구,열린약국,대전광역시 유성구 계룡로 37-1 (봉명동),042-824-4285
대전광역시,유성구,초록온누리약국,"대전광역시 유성구 어은로 57, 111호 (어은동, 한빛아파트)",042-861-2310
대전광역시,유성구,하나로약국,"대전광역시 유성구 테크노4로 133, 101,102호 (관평동)",042-935-3467
대전광역시,유성구,믿음이있는약국,"대전광역시 유성구 지족로 374, 109,110호 (지족동)",042-825-7304
대전광역시,유성구,휴베이스반석봄약국,"대전광역시 유성구 반석로 28, 103호 (반석동)",042-826-2133
대전광역시,유성구,누리약국,"대전광역시 유성구 테크노4로 137, 109호 (관평동, 나음타워)",042-934-1080
대전광역시,유성구,원내성심약국,대전광역시 유성구 진잠로78번길 69 (원내동),042-543-5133
대전광역시,유성구,반석드림팜약국,"대전광역시 유성구 반석로 16, 반석크리닉빌딩 (반석동)",042-826-0012
대전광역시,유성구,행복한약국,대전광역시 유성구 유성대로 770 (장대동),042-825-7588
대전광역시,유성구,노은한약국,대전광역시 유성구 은구비남로33번길 54 (지족동),042-476-8803
대전광역시,유성구,열매약국,대전광역시 유성구 노은로 178 (지족동),042-477-7272
대전광역시,유성구,코아우리약국,"대전광역시 유성구 엑스포로 488, 4층 13-1, 13-3호 (전민동)",042-862-9732
대전광역시,유성구,새아침약국,대전광역시 유성구 농대로 16 (어은동),042-867-8276
대전광역시,유성구,유성한우리약국,대전광역시 유성구 유성대로646번길 61 (구암동),042-824-4928
대전광역시,유성구,드림약국,대전광역시 유성구 문화원로 14 (장대동),042-822-9831
대전광역시,유성구,메디팜조은약국,대전광역시 유성구 은구비남로 37 (지족동),042-477-5588
대전광역시,유성구,노은참사랑약국,대전광역시 유성구 은구비남로 39 (지족동),042-477-1080
대전광역시,유성구,송강보령약국,"대전광역시 유성구 봉산로 1 (송강동,102호)",042-935-7065
대전광역시,유성구,메디칼약국,대전광역시 유성구 진잠로42번길 111 (원내동),042-543-2080
대전광역시,유성구,엑스포동우당약국,대전광역시 유성구 유성대로 1758 (전민동),042-862-2833
대전광역시,유성구,제일약국,대전광역시 유성구 월드컵대로275번길 39 (구암동),042-825-5555
대전광역시,유성구,명근당약국,대전광역시 유성구 어은로58번길 2 (어은동),042-863-7737
대전광역시,유성구,새생명약국,대전광역시 유성구 전민로70번길 38 (전민동),042-864-4661
대전광역시,유성구,우리들의약국,대전광역시 유성구 궁동로18번길 31 (궁동),042-822-0427
대전광역시,유성구,유성태평양약국,대전광역시 유성구 계룡로 50 (봉명동),042-823-8561
대전광역시,유성구,즐거운온누리약국,대전광역시 유성구 구즉로 48 (송강동),042-935-2230
대전광역시,유성구,대형약국,대전광역시 유성구 유성대로 772 (장대동),042-822-2732
대전광역시,유성구,한솔약국,대전광역시 유성구 송강로 24 (송강동),042-933-5465
대전광역시,유성구,엑스포약국,대전광역시 유성구 엑스포로 488 (전민동),042-862-8230
대전광역시,유성구,송강 솔약국,대전광역시 유성구 봉산로 27 (송강동),042-936-7983
대전광역시,유성구,성실약국,대전광역시 유성구 유성대로 1728 (전민동),042-863-4407
대전광역시,유성구,한빛약국,"대전광역시 유성구 어은로 57 (어은동, 한빛아파트상가)",042-862-0110
대전광역시,유성구,나은약국,"대전광역시 유성구 원내로 57, 1층 (원내동)",042-541-1856
대전광역시,유성구,명문약국,대전광역시 유성구 계룡로 47 (봉명동),042-822-5422
대전광역시,유성구,서울온누리약국,대전광역시 유성구 장대로 30 (장대동),042-822-2187
대전광역시,유성구,유성약국,대전광역시 유성구 유성대로 740 (장대동),042-822-2926
